c2-nv  324.58   1.3901                2021      404   0.0134
c2-nx  227.62   1.4996                2021        1   0.0000
c2-ny  213.41   1.5204                2021        7   0.0058
c2-nz  204.95   1.5336                2021        4   0.0115
c2-o   577.40   1.2249                2021       20   0.0030
c2-oh  376.23   1.3423                2021       85   0.0126
c2-os  350.47   1.3628                2021      233   0.0120
c2-p2  321.31   1.6649                2021       25   0.0074
c2-p3  201.99   1.8385                2021        1   0.0000
c2-p4  186.1    1.8220             SOUECE3        1         
c2-p5  190.62   1.8614                2021       10   0.0112
c2-pe  313.65   1.6735                2021        8   0.0019
c2-pf  275.1    1.6890     SOURCE3_SOURCE5        8   0.0019
c2-py  149.43   1.9608                2021        1   0.0000
c2-s2  194.93   1.8197                2021        1   0.0000
c2-s   277.52   1.6874                2021        2   0.0246
c2-s4  137.43   1.9608                2021        2   0.0337
c2-s6  193.43   1.8227                2021        2   0.0010
c2-sh  213.53   1.7846                2021        8   0.0102
c2-ss  213.76   1.7842                2021      390   0.0242
c3-c3  228.89   1.5354                2021    33079   0.0044
c3-c5  227.64   1.5372                2021     2795   0.0062
c3-c6  223.80   1.5428                2021     3803   0.0066
c3-ca  243.91   1.5147                2021     7362   0.0051
c3-cc  255.14   1.5002                2021     1547   0.0046
c3-cd  253.87   1.5018                2021     1379   0.0043
c3-ce  246.79   1.5109                2021      464   0.0038
c3-cf  247.02   1.5106                2021      199   0.0023
c3-cl  164.00   1.8092                2021      804   0.0089
c3-cs  243.68   1.5150                2021       38   0.0082
c3-cu  268.18   1.4843                2021        2   0.0000
c3-cv  263.1    1.5010              5/2017        1         
c3-cx  241.88   1.5174                2021      463   0.0039
c3-cy  232.49   1.5303                2021      307   0.0036
c3-f   334.28   1.3512                2021     1449   0.0067
c3-h1  344.22   1.0969                2021    79666   0.0051
c3-h2  347.02   1.0950                2021      689   0.0027
c3-h3  348.80   1.0938                2021       26   0.0030
c3-hc  345.25   1.0962                2021    96029   0.0013
c3-hx  352.86   1.0911                2021     5560   0.0020
c3-i    92.37   2.2260                2021       22   0.0114
c3-n1  283.85   1.4305                2021        3   0.0004
c3-n2  260.82   1.4566                2021      297   0.0055
c3-n   254.46   1.4643                2021     1382   0.0051
c3-n3  255.85   1.4626                2021     4663   0.0039
c3-n4  215.86   1.5167                2021     1841   0.0121
c3-n7  255.52   1.4630                2021     2228   0.0045
c3-n8  253.81   1.4651                2021     1176   0.0039
c3-na  254.79   1.4639                2021     1294   0.0075
c3-nc  269.3    1.4560             SOURCE3        9   0.0109
c3-nd  269.3    1.4560             SOURCE3        9         
c3-nh  256.92   1.4613                2021      970   0.0065
c3-nj  262.33   1.4548                2021        7   0.0059
c3-nk  222.99   1.5062                2021        6   0.0073
c3-nl  227.83   1.4993                2021        1   0.0000
c3-no  211.58   1.5232                2021       49   0.0148
c3-np  256.75   1.4615                2021       25   0.0025
c3-nq  263.26   1.4537                2021       13   0.0048
c3-ns  261.66   1.4556                2021     1308   0.0039
c3-nu  258.82   1.4590                2021      840   0.0052
c3-nx  219.76   1.5109                2021       76   0.0096
c3-ny  222.43   1.5070                2021       28   0.0082
c3-nz  238.81   1.4843                2021       72   0.0200
c3-o   406.05   1.3206                2021       12   0.0276
c3-oh  285.15   1.4242                2021     4300   0.0054
c3-os  282.27   1.4273                2021     8808   0.0100
c3-p2  185.39   1.8725                2021        1   0.0000
c3-p3  186.36   1.8704                2021       98   0.0070
c3-p4  196.92   1.8485                2021       16   0.0047
c3-p5  199.23   1.8439                2021      360   0.0185
c3-px  197.52   1.8473                2021        7   0.0021
c3-py  201.07   1.8403                2021       12   0.0140
c3-s   184.13   1.8420                2021        3   0.0000
c3-s4  183.10   1.8442                2021      155   0.0145
c3-s6  198.48   1.8127                2021      464   0.0137
c3-sh  182.92   1.8446                2021      157   0.0052
c3-ss  184.74   1.8407                2021     1652   0.0110
c3-sx  177.54   1.8564                2021       64   0.0146
c3-sy  198.12   1.8134                2021      109   0.0084
c5-c5  220.10   1.5483                2021    10572   0.0073
c5-c6  226.47   1.5389                2021     2004   0.0061
c5-ca  243.60   1.5151                2021     1156   0.0055
c5-cc  251.51   1.5048                2021      126   0.0067
c5-cd  249.33   1.5076                2021       88   0.0060
c5-ce  241.66   1.5177                2021      249   0.0057
c5-cf  227.37   1.5376                2021       89   0.0058
c5-cl  163.96   1.8093                2021       48   0.0133
c5-cs  231.42   1.5318                2021        7   0.0088
c5-cx  231.85   1.5312                2021      208   0.0060
